salt,solvent,concentration,solv_per_ion_pair
[Li+].[O-][N+](=O)=O,CCCC(CC)COC(=O)OCC,1.1,4.61
[Li+].[O-][N+](=O)=O,CC1CC2C3C(C)(C)CCC23O1,0.92,6.29
[Li+].[O-][N+](=O)=O,CCC1CCC2OC(=O)OC12,1.32,4.59
[Li+].[O-][N+](=O)=O,COC(=O)OCCCSSC,1.41,3.41
[Li+].[O-][N+](=O)=O,COC1C(C(C)=O)C2CCC3CC31C2,0.39,12.99
[Li+].[O-][N+](=O)=O,CCC1(C)CC(=O)CCC1(C)C,1.23,4.59
[Li+].[O-][N+](=O)=O,CCS(=O)(=O)CCCC(C)(C)F,1.41,3.41
[Li+].[O-][N+](=O)=O,CC1CC2CCCC3(CCCC3=O)C12,1.1,4.52
[Li+].[O-][N+](=O)=O,CCC1C2C(C)C(=O)CCCC12OC,0.97,5.05
[Li+].[O-][N+](=O)=O,CCC1C(C)CC12CCS2(=O)=O,0.7,7.37
[Li+].CC(=O)[O-],CC1C(=O)C2CCCC2C1=O,0.74,8.62
[Li+].CC(=O)[O-],CCCC(C)N(CC)CC(=O)CC,0.57,9.26
[Li+].CC(=O)[O-],CCCC(C(=O)CC)C(CC)C(C)C,1.06,4.56
[Li+].CC(=O)[O-],CCC1COC(C)C2CCC2C1C,0.57,9.41
[Li+].CC(=O)[O-],CCCCCC(F)C(=O)CN(C)C,0.92,5.54
[Li+].CC(=O)[O-],CC1C2CCC(C)(C)C1OC(=O)O2,0.34,15.75
[Li+].CC(=O)[O-],CC1(C(F)F)CCCC1=O,1.46,4.36
[Li+].CC(=O)[O-],CCC(CC)OC1CC(=O)CC1CC,0.48,10.31
[Li+].CC(=O)[O-],CCCC(=O)OC1CCC(CC)C1,0.34,15.75
[Li+].CC(=O)[O-],CCCCC(=O)C(C)(C)C(C)CC,1.46,3.51
[Li+].CC(=O)[O-],COc1cc(-c2ccccc2)c[nH]1,1.5,3.62
[Li+].CC(=O)[O-],CN(C)C(=O)CC1(C)CC2CC1C2,1.5,3.46
[Li+].CC(=O)[O-],CCCC(=O)C(C#N)C(CC)CC,0.97,5.47
[Li+].CC(=O)[O-],COC(=O)OC(CC(C)C)N(C)C,0.3,17.41
[Li+].CC(=O)[O-],CCCCC(=O)OCCC(C)C,0.74,7.62
[Li+].CC(=O)[O-],CCCOCCC1CC(C)CCC1C,1.01,4.8
[Li+].CC(=O)[O-],CCCC(C(C)C)C(C)C(=O)OC,1.32,3.86
[Li+].CC(=O)[O-],CC1C(CS(C)(=O)=O)C1(C)C,1.19,4.55
[Li+].CC(=O)[O-],CC(C)(C)CC1CCS1(=O)=O,1.37,3.92
[Li+].CC(=O)[O-],CCCCC(=O)C(C)(C)C(C)C,0.83,6.85
[Li+].CC(=O)[O-],CC(CC1CCC1)C(=O)Cl,0.66,9.19
[Li+].CC(=O)[O-],CC(=O)OC1(C)CCCC(C)(C)C1C,0.7,7.01
[Li+].CC(=O)[O-],CCC1CCCCC1C(=O)OC(C)C,0.97,5.0
[Li+].CC(=O)[O-],CCC12CC1OC(=O)CCCCC2C,0.83,5.94
[Li+].CC(=O)[O-],CCCCC(=O)CCC(C)(C)C#N,0.48,11.28
[Li+].[O-]C(=O)C(F)(F)F,CCC(=O)N1CCCCC1Cl,1.19,4.38
[Li+].[O-]C(=O)C(F)(F)F,CCC(=O)C(CCC(C)C)OC,1.28,4.13
[Li+].[O-]C(=O)C(F)(F)F,CC1CC2CCC(C)C(C2)C1=O,0.39,15.0
[Li+].[O-]C(=O)C(F)(F)F,CC1COCCCC1(C)C,0.7,9.55
[Li+].[O-]C(=O)C(F)(F)F,CC(=O)CCCC(C)C(C)(C)C#N,0.88,5.88
[Li+].[O-]C(=O)C(F)(F)F,CCCC1CC1(C)C(=O)C#N,0.7,8.98
[Li+].[O-]C(=O)C(F)(F)F,CC1CC(C)(C#N)C(=O)C2(C)CC12,1.41,3.6
[Li+].[O-]C(=O)C(F)(F)F,CCC(CC)CC(=O)C(C)CC,0.3,19.16
[Li+].[O-]C(=O)C(F)(F)F,COC(=O)CC1(CC(C)C)CCC1,1.28,3.86
[Li+].[O-]C(=O)C(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,1.19,4.13
[Li+].[O-]C(=O)C(F)(F)F,CCC(CC(C)=O)C(=O)CC(F)F,0.97,5.0
[Li+].[O-]C(=O)C(F)(F)F,CCC(CCC(C)C(C)C)OC,0.7,7.88
[Li+].[O-]C(=O)C(F)(F)F,CCCC1SOC(C)(C)C1C,0.83,6.51
[Li+].[O-]C(=O)C(F)(F)F,CCCCC(CC)C1CC(=O)N1C,0.57,9.19
[Li+].[O-]C(=O)C(F)(F)F,CCCC(C)(C)CC(=O)C(C)C(C)C,0.79,6.03
[Li+].[O-]C(=O)C(F)(F)F,CCC1COC(C)C2CCC2C1C,0.39,13.68
[Li+].[O-]C(=O)C(F)(F)F,CCC1OC(=O)CCC1C(C)C,1.23,4.36
[Li+].[O-]C(=O)C(F)(F)F,CCC1CCC2C3CCC3OC(=O)C12,1.19,3.96
[Li+].[O-]C(=O)C(F)(F)F,CCCC(CCC(F)F)C(=O)OC,1.06,4.49
[Li+].[O-]C(=O)C(F)(F)F,CCCC(=O)CC(CC#N)C(C)(C)C,0.3,16.71
[Li+].[O-]C(=O)C(F)(F)F,CC(F)C(=O)C1(C)CCCO1,1.23,4.63
[Li+].[O-]C(=O)C(F)(F)F,COC(=O)CCC1CCCCCC1C,0.83,5.72
[Li+].[O-]C(=O)C(F)(F)F,CC(=O)C1CC2CCCC(C2)C1=O,1.19,4.27
[Li+].[O-]C(=O)C(F)(F)F,CCC1C(COC)C2C3CC3CC12C,1.23,3.82
[Li+].[O-]C(=O)C(F)(F)F,CC(=O)C1C2CC3CC(C2)CC1C3,0.92,5.7
[Li+].CCC(=O)[O-],CS(=O)(=O)CCCC1CCC1,1.46,3.62
[Li+].CCC(=O)[O-],CC1CC(C)(C)C(C)(C)CC1=O,1.5,3.68
[Li+].CCC(=O)[O-],CCOC(=O)CC1CC1C1CCCC1,1.1,4.39
[Li+].CCC(=O)[O-],CC1CC2C3C(C)(C)CCC23O1,0.52,11.28
[Li+].CCC(=O)[O-],CCC1CCC(Cl)C1C(C)=O,1.5,3.55
[Li+].CCC(=O)[O-],CCCC(F)C(=O)CC,1.32,5.38
[Li+].CCC(=O)[O-],CCC1OC(=O)CCC1C(C)C,0.88,6.4
[Li+].CCC(=O)[O-],COC(=O)CC1CCCCCC(C)C1,0.97,4.96
[Li+].CCC(=O)[O-],CC12CC3C4CCC35CC(C1CO5)C42,0.34,15.21
[Li+].CCC(=O)[O-],CCCCC(=O)OCCC(C)C,0.57,9.91
[Li+].CCC(=O)[O-],CC1C(=O)C2CCCC2C1=O,0.92,6.83
[Li+].CCC(=O)[O-],CCCC(=O)C(C)C(C)(C)C,0.61,10.19
[Li+].CCC(=O)[O-],CC12CCCC1(C)C(C(=O)C#N)CC2,0.66,7.68
[Li+].CCC(=O)[O-],CC1CCC12CC2C(=O)OC1(C)CC1,0.61,8.2
[Li+].CCC(=O)[O-],CCCCC(C)C(=O)C1CO1,0.57,10.93
[Li+].CCC(=O)[O-],COC1=CSC=CC1,0.57,13.32
[Li+].CCC(=O)[O-],CC(=O)C1CC(C)CCC1C,0.3,21.3
[Li+].CCC(=O)[O-],CCC(=O)N1CCCCC1Cl,0.52,10.68
[Li+].CCC(=O)[O-],CC1C(=O)C(C#N)CC2CCCC21,0.88,6.15
[Li+].CCC(=O)[O-],CCC1CC(C)C1C(C)CCOC,1.46,3.46
[Li+].CCC(=O)[O-],CCCCC(C)OC(=O)OCC,1.46,3.66
[Li+].CCC(=O)[O-],CC(=O)C1CCCS(=O)(=O)C1,0.61,9.03
[Li+].CCC(=O)[O-],CCCC1(CC)C(COC)C1(C)C,0.79,6.61
[Li+].CCC(=O)[O-],CCCCC(=O)C(C)(C)C(C)CC,1.46,3.46
[Li+].CCC(=O)[O-],CCC1C2C(C)C(=O)CCCC12OC,0.88,5.55
[Li+].[O-]C(=O)c1ccccc1,CSCC(C(=O)F)C(C)C(C)C,0.92,5.26
[Li+].[O-]C(=O)c1ccccc1,CCS(=O)(=O)CC(C)CCCl,1.19,3.85
[Li+].[O-]C(=O)c1ccccc1,CCC(=O)C(C)C1SCCS1,1.14,4.21
[Li+].[O-]C(=O)c1ccccc1,CCCCC(=O)C(C)C(C)OC,0.7,7.86
[Li+].[O-]C(=O)c1ccccc1,COC1C(C(C)=O)C2CCC3CC31C2,1.19,3.94
[Li+].[O-]C(=O)c1ccccc1,CCOC(=O)OCCCS(C)=O,0.92,5.21
[Li+].[O-]C(=O)c1ccccc1,CC(=O)C1CCCS(=O)(=O)C1,1.41,3.6
[Li+].[O-]C(=O)c1ccccc1,CC(=O)CCCC(C)C(C)(C)C#N,0.57,9.26
[Li+].[O-]C(=O)c1ccccc1,CC(=O)C1C2CC3CC(C2)CC1C3,1.14,4.5
[Li+].[O-]C(=O)c1ccccc1,CCCCCS(=O)(=O)CC,0.52,11.25
[Li+].[O-]C(=O)c1ccccc1,CCCCC1C(C)C1CC(C)=O,0.34,17.03
[Li+].[O-]C(=O)c1ccccc1,CCC12CC3CC4COC3C(C1)C42,1.37,3.67
[Li+].[O-]C(=O)c1ccccc1,CCN1C(C)CC(=O)C12CC2C,0.52,11.05
[Li+].[O-]C(=O)c1ccccc1,COC(=O)C1CC(C)(F)CC1CF,1.5,3.08
[Li+].[O-]C(=O)c1ccccc1,CCC1CC(C)C1C(C)CCOC,0.48,10.89
[Li+].[O-]C(=O)c1ccccc1,CCC1CCCC(=O)C1Cl,1.01,5.69
[Li+].[O-]C(=O)c1ccccc1,CC1C2C(=O)C(=O)C(CC(C)(C)C)C12,0.83,5.81
[Li+].[O-]C(=O)c1ccccc1,CCC(C)CC(C)=O,1.37,5.73
[Li+].[O-]C(=O)c1ccccc1,CC(=O)C(C(C)=O)C1CC1C,0.52,11.98
[Li+].[O-]C(=O)c1ccccc1,CCC12CC(CCCCC1=O)C2,0.34,17.24
[Li+].[O-]C(=O)c1ccccc1,CC(=O)CCCCCCC(=O)C(C)=O,0.57,8.47
[Li+].[O-]C(=O)c1ccccc1,CCCCC(OC)C(CC)CC,0.79,6.91
[Li+].[O-]C(=O)c1ccccc1,CCC1(OOC)CC1C,0.57,12.9
[Li+].[O-]C(=O)c1ccccc1,CC1CCC(C)C12C(=O)CCCC2=O,0.7,6.97
[Li+].[O-]C(=O)c1ccccc1,CC1CC(CC(=O)C#N)C1,0.92,7.37
[Li+].[O-]C=O,CCCCC(C)C(C)SOC,1.06,5.18
[Li+].[O-]C=O,CCCCC(C)CC(=O)CC,0.92,6.76
[Li+].[O-]C=O,CCC1(C(C)(C)C)OOC1=O,1.23,4.95
[Li+].[O-]C=O,COCCC(C(C)C)C(C)C,1.06,5.77
[Li+].[O-]C=O,CCC(CC)(OC(C)=O)SC,0.52,10.74
[Li+].[O-]C=O,CCCCC(C)(CC)CCC(C)=O,1.01,5.21
[Li+].[O-]C=O,CCCC(CC)COC(=O)OCC,1.46,3.48
[Li+].[O-]C=O,CCOC(C)OC(=O)OC,0.52,12.77
[Li+].[O-]C=O,CCCCCC(=O)OC(C)CCC,0.52,10.16
[Li+].[O-]C=O,CCCCC(C)C(=O)OOCF,1.46,3.67
[Li+].[O-]C=O,COC(=O)CC1(CC(C)C)CCC1,1.06,4.95
[Li+].[O-]C=O,CSC1(C)CCC(=O)C(C)C1,0.7,8.11
[Li+].[O-]C=O,CCCC(C)C(C)CCC(=O)CC#N,0.61,8.24
[Li+].[O-]C=O,CCCC1SOC(C)(C)C1C,1.14,4.86
[Li+].[O-]C=O,CC1CC2CCC(C)C(C2)C1=O,0.97,6.02
[Li+].[O-]C=O,CC(=O)CCC(C)(C)C(C)C(C)C,0.7,7.58
[Li+].[O-]C=O,CCCC(C)C(C)S(=O)(=O)F,1.41,3.72
[Li+].[O-]C=O,CCCC(C(C)(C)C)C1(CC)OO1,0.79,6.63
[Li+].[O-]C=O,CCC(SC)C(=O)OC(C)C,0.88,6.27
[Li+].[O-]C=O,CCCCC(C)S(=O)(=O)Cl,0.88,5.99
[Li+].[O-]C=O,COC(=O)C1CCCC(C(C)C)C1C,0.34,14.68
[Li+].[O-]C=O,CC(=O)CC1CC1C1CC(C)C2CC21,0.66,7.72
[Li+].[O-]C=O,CCC(C#N)CS(=O)(=O)CC,1.23,4.46
[Li+].[O-]C=O,CCC(C(=O)OC)S(=O)(=O)CC,0.48,10.57
[Li+].[O-]C=O,CCCCCC(F)C(=O)CN(C)C,0.48,10.85
[Li+].COS(=O)(=O)[O-],CCCC12CC(C)C1CC(=O)O2,1.06,5.19
[Li+].COS(=O)(=O)[O-],CCC1CC(C)C1C(C)CCOC,1.1,4.56
[Li+].COS(=O)(=O)[O-],CCCCC(C)OC(=O)OCC,0.43,12.95
[Li+].COS(=O)(=O)[O-],CC1CCC2(CCC(=O)O2)C1(C)C,1.23,4.08
[Li+].COS(=O)(=O)[O-],CCC1CCC2OC(=O)OC12,1.5,3.82
[Li+].COS(=O)(=O)[O-],CCS(=O)(=O)CC(C)CCCl,0.66,7.28
[Li+].COS(=O)(=O)[O-],CCCC(C)C1OC(=O)C1C,1.32,4.4
[Li+].COS(=O)(=O)[O-],CSCCC(=O)CSC,0.97,5.85
[Li+].COS(=O)(=O)[O-],CCC1CC(C)(CC)C(=O)CC1(C)C,0.39,12.71
[Li+].COS(=O)(=O)[O-],CC12CCC3CCC(C1)C2COC3,0.7,7.54
[Li+].COS(=O)(=O)[O-],CC(=O)CC1CC1C1CC(C)C2CC21,0.88,5.55
[Li+].COS(=O)(=O)[O-],COc1cc(-c2ccccc2)c[nH]1,0.79,6.91
[Li+].COS(=O)(=O)[O-],CCCCC1C(C)C1CC(C)=O,0.7,8.08
[Li+].COS(=O)(=O)[O-],CCC(C(=O)OC)S(=O)(=O)CC,1.19,3.97
[Li+].COS(=O)(=O)[O-],CC1C(=O)C2CCCC2C1=O,1.41,4.2
[Li+].COS(=O)(=O)[O-],CC(=O)C1CC2CCCC(C2)C1=O,0.57,9.35
[Li+].COS(=O)(=O)[O-],CC(=O)C1(CC(C)C(C)C)CCCC1,0.83,5.78
[Li+].COS(=O)(=O)[O-],COCC1C2C(C)C2C(C)CC1(C)C,1.46,3.13
[Li+].COS(=O)(=O)[O-],CCCC1CC(=O)C(C(C)C)C1(C)C,0.52,9.44
[Li+].COS(=O)(=O)[O-],CC1CC2CC(C2)C(C)C(=O)OC1C,0.3,16.63
[Li+].COS(=O)(=O)[O-],CC1CC(CC(=O)C#N)C1,1.19,5.62
[Li+].COS(=O)(=O)[O-],CC(C)C(C)OC(C)C(F)(F)F,0.92,5.52
[Li+].COS(=O)(=O)[O-],CCC1C(OC(C)=O)OC(=O)C1C#N,0.52,9.4
[Li+].COS(=O)(=O)[O-],CCOC(=O)OCOCC(C)Cl,0.88,5.43
[Li+].COS(=O)(=O)[O-],CCC1CC2C(OC)CC(C)C2(C)C1,1.32,3.5
[Li+].[S-]C#N,CCCOCCC1CC(C)CCC1C,1.01,4.8
[Li+].[S-]C#N,CCC(C)OC(=O)CSC,0.48,12.6
[Li+].[S-]C#N,CC(C)(CS(=O)(=O)F)C1CC1,0.7,7.71
[Li+].[S-]C#N,CC1C(=O)C2CCCC2C1=O,0.48,13.44
[Li+].[S-]C#N,CCC(C#N)CS(=O)(=O)CC,0.34,16.56
[Li+].[S-]C#N,CC(F)C(=O)C1(C)CCCO1,1.37,4.32
[Li+].[S-]C#N,CCC(CC)OP(=O)(Cl)CC,0.74,6.61
[Li+].[S-]C#N,CC1C(=O)C2CCCC(C)(C2)C1(C)C,0.61,8.24
[Li+].[S-]C#N,CC(C)(C)c1ccc2c(c1)ON(F)O2,1.23,3.93
[Li+].[S-]C#N,CC1CC(C)(C)C(C)(C)CC1=O,0.52,11.2
[Li+].[S-]C#N,CCCC1CC(=O)C(C(C)C)C1(C)C,0.3,16.78
[Li+].[S-]C#N,CCC(=O)C(CCC(C)C)OC,0.83,6.77
[Li+].[S-]C#N,CC1CC(C)(C#N)C(=O)C2(C)CC12,1.28,4.19
[Li+].[S-]C#N,CCCC(C(C)(C)C)C1(CC)OO1,1.1,4.67
[Li+].[S-]C#N,CC(=O)C(C)C1CC(C)C(C)C1,1.32,4.27
[Li+].[S-]C#N,CCCCCC(=O)OC(C)CCC,0.7,7.46
[Li+].[S-]C#N,CC1CCC(=O)CC(=O)C12CCCC2,1.28,3.82
[Li+].[S-]C#N,CCN(C)S(=O)(=O)CC(C)C,0.66,8.24
[Li+].[S-]C#N,CCC1(C)CC2C(C)C2C1C(=O)OC,0.97,5.06
[Li+].[S-]C#N,CCC1CCCCC1C(=O)OC(C)C,1.32,3.63
[Li+].[S-]C#N,CC(=O)C1CC2CCCC(C2)C1=O,0.57,9.52
[Li+].[S-]C#N,CSC1(C)CCC(=O)C(C)C1,0.66,8.57
[Li+].[S-]C#N,CCCCC(=O)C(C)(C)C(C)C,1.41,3.94
[Li+].[S-]C#N,CC1CC(CC(=O)C#N)C1,1.37,5.04
[Li+].[S-]C#N,CC1(C)CCCCCS(=O)(=O)C1,1.41,3.53
[Li+].[Br-],CCCC(=O)C(C)C(=O)CC(C)=O,0.48,11.03
[Li+].[Br-],CC(=O)C1C2CCC(CSC2)C1C,0.43,11.47
[Li+].[Br-],CC(=O)CC(=O)C1(C)CC1C,1.23,4.94
[Li+].[Br-],CC(=O)CCC1CCC(C)O1,1.41,4.21
[Li+].[Br-],CCC1C2C(C)C(=O)CCCC12OC,1.37,3.46
[Li+].[Br-],CCN(C)S(=O)(=O)CC(C)C,0.83,6.44
[Li+].[Br-],CCCOC(=O)OC(C)N(C)CC,1.1,4.53
[Li+].[Br-],CS(=O)(=O)C1CCCCC1,1.37,4.18
[Li+].[Br-],CCCC(C)C(C)(C)CCC(C)=O,1.1,4.65
[Li+].[Br-],CCC(C)CC(C)=O,0.43,19.92
[Li+].[Br-],CCC1(C)CC(=O)CCC1(C)C,0.57,10.12
[Li+].[Br-],CC12CCCC1(C)C(C(=O)C#N)CC2,0.79,6.35
[Li+].[Br-],CCCC1C(CC)OCC1C1(C)CC1,0.52,9.53
[Li+].[Br-],CCCCC(=O)C(C)C(C)OC,0.3,19.05
[Li+].[Br-],CCC(CC(C)(F)F)C(=O)CC#N,1.23,4.03
[Li+].[Br-],CCCCC(C)C(C)SOC,0.92,5.87
[Li+].[Br-],CCC(C)CC1(CC(=O)OC)CC1,0.34,15.68
[Li+].[Br-],CCC(=O)CC1OC(=O)C1C1CC1,1.28,4.01
[Li+].[Br-],COC(=O)C(C)C(C)S(=O)(=O)F,0.7,6.95
[Li+].[Br-],CCC1COC(C)C2CCC2C1C,0.61,8.71
[Li+].[Br-],CC1CC2C3C(C)(C)CCC23O1,1.28,4.39
[Li+].[Br-],COC1=CSC=CC1,0.57,13.29
[Li+].[Br-],CC12CCC3CCC(C1)C2COC3,0.48,11.27
[Li+].[Br-],CC1CCC(=O)CC(=O)C12CCCC2,0.43,11.71
[Li+].[Br-],CCC1CCCCC1C(=O)OC(C)C,0.74,6.56
[Li+].[Cl-],CC(=O)C1CC2CCCC(C2)C1=O,0.97,5.58
[Li+].[Cl-],CCCCCC(=O)OC(C)CCC,0.52,10.19
[Li+].[Cl-],CS(=O)(=O)CCCC1CCC1,0.88,6.3
[Li+].[Cl-],CCC(=O)C1(C)CC(C)CCCC1C,0.43,11.72
[Li+].[Cl-],CCCCCC(C)C(=O)OCCC,0.39,13.63
[Li+].[Cl-],CCCCC(OC(C)=O)C(C)(C)F,1.06,4.83
[Li+].[Cl-],CCCC1CC(=O)C(C(C)C)C1(C)C,0.57,8.81
[Li+].[Cl-],COC(=O)OCC(=O)C(=O)C(C)C,0.92,5.64
[Li+].[Cl-],CC1CCC(C)C12C(=O)CCCC2=O,0.66,7.67
[Li+].[Cl-],CCC(C)C(=O)C1(C#N)CC1,0.3,21.88
[Li+].[Cl-],CCC(C)C1CCC(CCOC)C1,0.61,8.76
[Li+].[Cl-],CCCC1C2CCC(C)C(C)C12OC,1.32,3.73
[Li+].[Cl-],CCC12CC1OC(=O)CCCCC2C,1.1,4.5
[Li+].[Cl-],CC(=O)CCCCCCC(=O)C(C)=O,0.39,12.81
[Li+].[Cl-],CCCC(C)(C)CC(=O)C(C)C(C)C,0.79,6.26
[Li+].[Cl-],CCN(C)S(=O)(=O)CC(C)C,1.14,4.75
[Li+].[Cl-],CC1C2CC3CC14CC32CC4=O,1.41,4.22
[Li+].[Cl-],CC1CC2CCCC(C(C)C)(C1)C2=O,1.41,3.52
[Li+].[Cl-],CCS(=O)(=O)CCCC(C)(C)F,0.61,8.22
[Li+].[Cl-],CCC(P)CCC(C)=O,1.14,5.83
[Li+].[Cl-],CC1CC(C)(C)C(C)(C)CC1=O,0.34,17.33
[Li+].[Cl-],CCC(SC)C(=O)OC(C)C,1.06,5.21
[Li+].[Cl-],CCCCC1C(C)C1CC(C)=O,0.48,12.23
[Li+].[Cl-],CC1C(CS(C)(=O)=O)C1(C)C,0.34,16.54
[Li+].[Cl-],CCC1CCC(Cl)C1C(C)=O,0.7,8.04
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCCC(CC)COC(=O)OCC,0.74,6.62
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC(=O)OCP,1.5,5.3
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,COC(=O)C(=O)C(C)CC(C)Cl,1.28,3.51
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC(=O)CC(=O)C1(C)CC1C,1.41,3.92
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC(=O)C1CC(C)CCC1C,1.01,5.74
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCCCC(C)C(C)SOC,0.92,5.57
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC(C)(CS(=O)(=O)F)C1CC1,1.01,4.91
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCCC(C)C(C)CCC(=O)CC#N,1.14,3.95
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCC(CC)CC(=O)C(C)CC,0.92,5.77
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCC(CC)(OC(C)=O)SC,0.74,7.07
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCCC1(C)CC(=O)C12CCCC2C,0.79,5.97
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,COC(=O)CC1CCCCCC(C)C1,1.01,4.46
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC12CC3(C)CC(C1)(C2)S3(=O)=O,1.32,3.5
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC(=O)C1CC2(C(C)=O)CC2C1C,0.66,7.82
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC1CC(OC=O)CCC2(C)CC2C1,1.19,3.75
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCN1C(C)CC(=O)C12CC2C,1.37,3.74
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCC1CCCCC(CC)C(=O)O1,1.01,4.8
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC1C(=O)C2CCCC2C1=O,0.92,6.45
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCC1(OC(=O)OC)CCC(C)C1,1.1,4.32
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCCC1SOC(C)(C)C1C,0.39,14.11
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC1CC2CCCC(C(C)C)(C1)C2=O,0.83,5.66
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC1C(=O)C(C#N)CC2CCCC21,1.01,4.99
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CCCCC(CC)C1CC(=O)N1C,0.66,7.69
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,COC(=O)C1(C)CCCC(=O)C1C,0.57,8.95
[Li+].[O-]S(=O)(=O)c1ccc(C)cc1,CC(=O)CCC1CC(=O)C1C(C)C,0.52,9.98
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CCCC(C)S(=O)(=O)CC1,0.3,16.89
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(C)(C)CC1CCS1(=O)=O,1.28,3.75
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(P)CCC(C)=O,1.14,5.18
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC(C(C)=O)C(Cl)Cl,0.48,9.96
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCOC(=O)OCCC(C)OC,1.1,4.15
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,COC(=O)C1(C)CCCC(=O)C1C,0.74,6.69
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CCC(=O)CC(=O)C12CCCC2,1.19,3.71
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,COP(C)(=O)CC(=O)CC(C)C,1.19,3.75
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(C)CC(=O)OC(C)=O,0.39,14.19
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1=C[C@H](F)C=CO1,0.43,19.33
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)C(=O)CCC(C)(C)C(C)=O,1.23,3.5
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCC1CC1C(=O)C(=O)C#N,1.01,4.51
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(CC1CCC1)C(=O)Cl,0.34,17.56
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1OC(=O)CCC1C(C)C,0.52,10.59
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC12CCOC1(CC)C2,0.34,18.29
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1CC(C)(C)C(C)(C)CC1=O,0.79,6.81
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(=O)C(C)C(CC)SC#N,0.57,8.82
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,COc1cc(-c2ccccc2)c[nH]1,1.19,4.16
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC(C)C(=O)C(C)(C#N)CC,0.3,16.46
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1COC(C)C2CCC2C1C,0.61,8.34
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCCC(=O)N(C=O)CCC,1.1,4.26
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)CCCC(C)C(C)(C)C#N,0.34,15.57
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(F)C(=O)CC,0.34,21.35
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1C(CS(C)(=O)=O)C1(C)C,0.83,6.16
[Na+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC12CC(CCCCC1=O)C2,1.14,4.56
[Na+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(C)CC(C)S(C)(=O)=O,1.5,2.54
[Na+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(C(C)C)C(C)C(=O)OC,0.34,14.83
[Na+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)C(C#N)C(CC)CC,1.23,3.5
[Na+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)C(C)CS(C)(=O)=O,1.1,4.05
