salt,solvent,concentration,solv_per_ion_pair
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)CCC(C)(C)C(C)C(C)C,0.48,10.82
[Li+].F[P-](F)(F)(F)(F)F,CC1CCC(C)(CC2CC2)C1(C)C,0.43,12.4
[Li+].F[P-](F)(F)(F)(F)F,CCOC(C)=O,0.97,10.69
[Li+].F[P-](F)(F)(F)(F)F,COC(=O)C1(C)CCCC(=O)C1C,0.3,17.61
[Li+].F[P-](F)(F)(F)(F)F,CCC1(C#N)CCCCC(=O)O1,1.01,5.39
[Li+].F[P-](F)(F)(F)(F)F,C#Cc1sccc1C(C)(C)C,0.88,6.37
[Li+].F[P-](F)(F)(F)(F)F,CCCC(C#N)CC(C)CCC(C)C,0.88,5.36
[Li+].F[P-](F)(F)(F)(F)F,CCCCCC(F)C(=O)CN(C)C,1.14,4.16
[Li+].F[P-](F)(F)(F)(F)F,CCCCC(C)OC(=O)OCC,0.92,5.73
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)CCCCCCC(=O)C(C)=O,1.19,3.79
[Li+].F[P-](F)(F)(F)(F)F,CC1(C(=O)C2CCCCC2=O)CCC1,1.23,3.72
[Li+].F[P-](F)(F)(F)(F)F,COc1cc(-c2ccccc2)c[nH]1,1.41,3.58
[Li+].F[P-](F)(F)(F)(F)F,CC1CCCC2CC34CCC1C23C4,1.28,3.92
[Li+].F[P-](F)(F)(F)(F)F,COCS(=O)(=O)C(C)(C)C,0.92,6.0
[Li+].F[P-](F)(F)(F)(F)F,CC(C)C1C(C)CCCC1C#N,0.88,6.33
[Li+].F[P-](F)(F)(F)(F)F,CSC(Cl)(Cl)SC,0.57,9.4
[Li+].F[P-](F)(F)(F)(F)F,CCCC(C)CC(C)S(C)(=O)=O,1.01,4.68
[Li+].F[P-](F)(F)(F)(F)F,CC1CC2CCC(C)C(C2)C1=O,0.43,13.45
[Li+].F[P-](F)(F)(F)(F)F,CCS(=O)(=O)CC(C)CCCl,1.46,3.0
[Li+].F[P-](F)(F)(F)(F)F,CCCC(=O)C(C)C(C)(C)C,1.32,4.28
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)CCC1CC(=O)C1C(C)C,0.43,12.27
[Li+].F[P-](F)(F)(F)(F)F,CCC(C)CC1CC1C1CCCC1,1.28,3.84
[Li+].F[P-](F)(F)(F)(F)F,CCCC(CC)C(C)C1CC1CC,0.43,12.26
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)C1(CC(C)C(C)C)CCCC1,1.19,3.83
[Li+].F[P-](F)(F)(F)(F)F,CC1CCC2CC1(C1CC3CC1C3)C2,0.39,13.0
[Li+].F[P-](F)(F)(F)(F)F,CC1(C)CCCCCS(=O)(=O)C1,0.88,5.5
[Li+].F[P-](F)(F)(F)(F)F,CCC(C)(C)CCCC(F)CF,1.1,4.6
[Li+].F[P-](F)(F)(F)(F)F,CC(C#N)C1CCC(C)C1(C)C,1.19,4.54
[Li+].F[P-](F)(F)(F)(F)F,CC1CCCC2CC1COC(C)(C)C2,0.79,5.99
[Li+].F[P-](F)(F)(F)(F)F,CCC(C(=O)OC)S(=O)(=O)CC,1.41,3.19
[Li+].F[P-](F)(F)(F)(F)F,CCC(C)(C)CCC(=O)N1CCCO1,1.23,3.63
[Li+].F[P-](F)(F)(F)(F)F,CC1CC2CCCC3CCC1C32,0.52,11.16
[Li+].F[P-](F)(F)(F)(F)F,CC(=O)OC1(C)CCCC(C)(C)C1C,1.1,4.13
[Li+].F[P-](F)(F)(F)(F)F,CCCCC(=O)CCC(C)(C)C#N,1.19,4.14
[Li+].F[P-](F)(F)(F)(F)F,CC(CCCC1CC1C)CC(C)(C)C,0.7,6.82
[Li+].F[P-](F)(F)(F)(F)F,CS(=O)(=O)CCCC1CCC1,1.19,4.26
[Li+].F[P-](F)(F)(F)(F)F,CC(C)C1CCC2C(C)C2(C)C1,1.41,3.73
[Li+].F[P-](F)(F)(F)(F)F,CCCC(C(C)C)C(C)C(=O)OC,1.28,3.71
[Li+].F[P-](F)(F)(F)(F)F,COC(=O)OC1CCCC(C)C1,1.23,4.2
[Li+].F[P-](F)(F)(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,1.06,4.59
[Li+].F[P-](F)(F)(F)(F)F,CCC1CC(C)(CC)C(=O)CC1(C)C,0.61,7.89
[Li+].F[P-](F)(F)(F)(F)F,CC1CC(CC(=O)C#N)C1,1.28,5.04
[Li+].[O-]Cl(=O)(=O)=O,CC(C)(C)c1ccc2c(c1)ON(F)O2,0.3,16.59
[Li+].[O-]Cl(=O)(=O)=O,CC1CC(C2C(C)C(C)CC2(C)C)C1,0.3,16.83
[Li+].[O-]Cl(=O)(=O)=O,COC(=O)C(C)CC(C)(C)C(C)C,0.48,10.85
[Li+].[O-]Cl(=O)(=O)=O,CCOC(=O)CC1CC1C1CCCC1,0.34,14.67
[Li+].[O-]Cl(=O)(=O)=O,CCC(CC)CC(=O)C(C)CC,1.28,4.22
[Li+].[O-]Cl(=O)(=O)=O,C1CC(C2CC3CC4(CCC24)C3)C1,1.01,5.26
[Li+].[O-]Cl(=O)(=O)=O,CC1CC(CC(=O)C#N)C1,1.5,4.4
[Li+].[O-]Cl(=O)(=O)=O,CCCCCC(C)C(C)C(C)CCC,1.28,3.62
[Li+].[O-]Cl(=O)(=O)=O,CCCC(=O)C(C)C(=O)CC(C)=O,1.46,3.38
[Li+].[O-]Cl(=O)(=O)=O,CCCC(=O)CC(CC#N)C(C)(C)C,0.57,8.66
[Li+].[O-]Cl(=O)(=O)=O,CCCC1CC1(C)C(=O)C#N,0.66,9.61
[Li+].[O-]Cl(=O)(=O)=O,CC(=O)C1CC2(C(C)=O)CC2C1C,1.32,3.86
[Li+].[O-]Cl(=O)(=O)=O,CC(=O)C1C2CC3CC(C2)CC1C3,0.57,9.49
[Li+].[O-]Cl(=O)(=O)=O,CC1C(C#N)C2CC1C(C)(C)C2C,0.34,16.24
[Li+].[O-]Cl(=O)(=O)=O,CCC1CC2C(OC)CC(C)C2(C)C1,1.1,4.31
[Li+].[O-]Cl(=O)(=O)=O,CC1CC(OC=O)CCC2(C)CC2C1,1.28,3.66
[Li+].[O-]Cl(=O)(=O)=O,CCCCC(=O)C(C)(C)C(C)CC,1.5,3.28
[Li+].[O-]Cl(=O)(=O)=O,CC1C2CC(=O)C(C#N)C(C)(C)CC12,1.41,3.38
[Li+].[O-]Cl(=O)(=O)=O,CCCCCC(F)C(=O)CN(C)C,0.43,11.96
[Li+].[O-]Cl(=O)(=O)=O,CC(C)CC1(C)CC(C)C12CC2,1.23,4.51
[Li+].[O-]Cl(=O)(=O)=O,CCCC(=O)C(C)C(C)C(C)C(C)C,1.32,3.5
[Li+].[O-]Cl(=O)(=O)=O,COCCC(C(C)C)C(C)C,1.14,5.15
[Li+].[O-]Cl(=O)(=O)=O,CC(C)N(C)C(CCF)CC(F)F,1.28,3.64
[Li+].[O-]Cl(=O)(=O)=O,CC1C2C3CC4C5CCC1(C54)C32,1.32,4.34
[Li+].[O-]Cl(=O)(=O)=O,CC(C)CCCC(C)C(C)SC#N,0.83,5.73
[Li+].[O-]Cl(=O)(=O)=O,CCCC(C)C(F)CCC(C)C,0.34,16.51
[Li+].[O-]Cl(=O)(=O)=O,CCC1C2C(C)C(=O)CCCC12OC,0.83,5.82
[Li+].[O-]Cl(=O)(=O)=O,CCCC(CCC#N)C(C)(CC)CC,0.52,9.52
[Li+].[O-]Cl(=O)(=O)=O,CC1OC(=O)OC2C(=O)N(C)C1C2C,0.43,11.36
[Li+].[O-]Cl(=O)(=O)=O,CCC1C2C3CC4CCC(C)C4(C3)C12,0.43,11.89
[Li+].[O-]Cl(=O)(=O)=O,CCCCCCC(C)CC#N,1.14,5.31
[Li+].[O-]Cl(=O)(=O)=O,CCC1CCCCC1C(=O)OC(C)C,0.92,5.17
[Li+].[O-]Cl(=O)(=O)=O,CCCCCC(C)(C)CCC(C)C#N,0.97,4.96
[Li+].[O-]Cl(=O)(=O)=O,CCC(CC(C)(F)F)C(=O)CC#N,1.19,4.11
[Li+].[O-]Cl(=O)(=O)=O,CC12CC3CC(C1)C2C3,0.97,7.92
[Li+].[O-]Cl(=O)(=O)=O,CC(C)CC1(C)CCCC(C)C1C#N,1.06,4.56
[Li+].[O-]Cl(=O)(=O)=O,COC(=O)OCC1C2CCCC1C2,0.39,13.58
[Li+].[O-]Cl(=O)(=O)=O,CCC1CCC(CCCCCl)C1,1.32,3.68
[Li+].[O-]Cl(=O)(=O)=O,CC1CC2CCC(C)C(C2)C1=O,0.83,6.87
[Li+].[O-]Cl(=O)(=O)=O,CCCP(C)CCC,0.48,15.29
[Li+].[O-]Cl(=O)(=O)=O,CCC(=O)C(C)C1SCCS1,1.28,3.78
[Li+].[O-]Cl(=O)(=O)=O,CCC(CC)(OC(C)=O)SC,1.19,4.41
[Li+].[O-]Cl(=O)(=O)=O,CC1C(CS(C)(=O)=O)C1(C)C,0.34,16.33
[Li+].[O-]Cl(=O)(=O)=O,CC12CCCC1(C)C(C(=O)C#N)CC2,0.52,9.73
[Li+].[O-]Cl(=O)(=O)=O,CCCCC(=O)CCC(C)(C)C#N,0.3,18.04
[Li+].[O-]Cl(=O)(=O)=O,CC1CC2CC(C2)C(C)C(=O)OC1C,0.61,8.03
[Li+].[O-]Cl(=O)(=O)=O,CCC(C)CC1CC1C1CCCC1,0.39,13.87
[Li+].[O-]Cl(=O)(=O)=O,CCS(=O)(=O)CCCC(C)(C)C,1.14,4.24
[Li+].[O-]Cl(=O)(=O)=O,CCCC1CC(=O)C(C(C)C)C1(C)C,0.92,5.22
[Li+].[O-]Cl(=O)(=O)=O,CC1CC2CCSC3CC1C2C3,1.5,3.31
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(C#N)CCCC(CC)CC,0.83,6.14
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1C2CC3CC1(CC3C#N)C2=O,0.92,5.26
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1C(C2C3CCCC32)C1(C)C,1.06,4.78
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC(F)(F)CCCC#N,0.92,6.17
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC12COC(CC1C)CC2(C)C,0.74,6.91
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC(C)(CC)CCC(C)=O,1.46,3.22
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC1CCCC(CC)C(C)C1,0.92,5.07
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC12CC3(C)CC(C1)(C2)S3(=O)=O,1.28,3.7
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1CCCC(=O)C1Cl,1.19,4.66
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCOC(=O)OC(C)N(C)CC,0.97,4.96
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(C)C(=O)CCC(C)C(C)(C)C,1.37,3.22
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1CCC2C3CCC3OC(=O)C12,0.43,11.5
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCON(C)C(C)C1CCCS1,1.41,3.26
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1CCC(C)(CC2CC2)C1(C)C,1.32,3.69
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1(C(C#N)CCC2CC2)CCCC1,0.92,5.2
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCS(=O)(=O)C1CCC1,1.19,5.05
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(=O)C(C)C(CC)SC#N,0.92,5.37
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1CC(C)C(CCC(=O)N(C)C)C1,0.61,7.84
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC12CC34CC5CC3C1(CC54)C2,1.28,4.3
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCP(C)CCC(C)CC,0.57,9.54
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC(C)C(C)(CC(C)C)C(C)C,0.66,7.17
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(F)CC(C)(F)C#N,0.92,7.47
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(CC(C)(F)F)C(=O)CC#N,1.32,3.52
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(=O)C1CC(C)CCC1C,0.74,8.17
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(C#N)C1CCC(C)C1(C)C,0.88,6.32
[Li+].[O-]S(=O)(=O)C(F)(F)F,COCCC(C(C)C)C(C)C,0.34,18.0
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1C2CC3C(C2)C3C1CC#N,0.43,13.85
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC1CC(=O)C(C(C)C)C1(C)C,0.34,14.51
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1(C)CC1CCC(C)C(C)C#N,0.39,12.79
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC(SC)SSC,1.37,3.25
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC(=O)C(C)C(=O)CC(C)=O,1.32,3.61
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC1COCC2(C1)C(=O)OCC2C#N,1.32,3.41
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(Cl)CC(C#N)CC(C)(C)C,0.34,15.18
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCOC(C)OC(=O)OC,0.39,16.69
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(=O)CC(=O)C1(C)CC1C,0.61,10.04
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCCCC(CC)C(C)(C)C,0.97,5.09
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(=O)OC1(C)CCCC(C)(C)C1C,0.7,6.74
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC(C)C(=O)C(C)(C#N)CC,0.88,5.35
[Li+].[O-]S(=O)(=O)C(F)(F)F,C1CC2CC2CC2CCC3(C1)CC3C2,0.48,10.46
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(CC1CCC1)C(=O)Cl,1.19,4.66
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(F)C(=O)C1(C)CCCO1,0.66,8.89
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC1C(C)CC1C(C)C,0.34,20.31
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(C)N(C(C)C)C(C)C1(C)CC1,1.19,4.08
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCCC(C)C(=O)C1CO1,1.41,3.95
[Li+].[O-]S(=O)(=O)C(F)(F)F,COC1=CSC=CC1,0.3,25.29
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCC(CC)C(=O)CS(C)(=O)=O,0.83,5.79
[Li+].[O-]S(=O)(=O)C(F)(F)F,COc1cc(-c2ccccc2)c[nH]1,1.32,3.84
[Li+].[O-]S(=O)(=O)C(F)(F)F,CC(C)CC1(C)CC(C)C12CC2,1.14,4.72
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCCC(CC#N)CCC(C)CC,1.32,3.67
[Li+].[O-]S(=O)(=O)C(F)(F)F,CCOC(=O)CC1CC1C1CCCC1,0.79,5.98
[Li+].[N-](C#N)C#N,CC(=O)CCC(C)(C)C(C)C(C)C,1.46,3.48
[Li+].[N-](C#N)C#N,CC(C)C(C1CC1)C(C)(C)C,1.32,4.63
[Li+].[N-](C#N)C#N,CC(C)C1CCCC1(C)C#N,0.7,9.16
[Li+].[N-](C#N)C#N,CCCC(C)C(C)CCC(=O)CC#N,0.88,5.6
[Li+].[N-](C#N)C#N,CC(C)C1CCC2C(C1)C1C2N1C,0.92,5.82
[Li+].[N-](C#N)C#N,CCCCC(C)(CC)CCC(C)=O,1.23,4.18
[Li+].[N-](C#N)C#N,CCCC(=O)CCCCC(F)CC,1.14,4.43
[Li+].[N-](C#N)C#N,CCCC(CC)C(C)(C)CSC,1.32,3.79
[Li+].[N-](C#N)C#N,CCCCC1CCCC(CC)C(C)C1,0.74,6.66
[Li+].[N-](C#N)C#N,CCCCC(=O)C(C)(C)C(C)C,0.92,6.13
[Li+].[N-](C#N)C#N,CC(=O)C1C2CC3CC(C2)CC1C3,0.83,6.52
[Li+].[N-](C#N)C#N,CC1C2C(=O)C(=O)C(CC(C)(C)C)C12,1.41,3.43
[Li+].[N-](C#N)C#N,FCC1OCCO1,0.66,13.88
[Li+].[N-](C#N)C#N,CCCCCCCC(C)P,1.01,5.91
[Li+].[N-](C#N)C#N,CCCCCC1CC1C(=O)C(=O)C#N,0.43,11.81
[Li+].[N-](C#N)C#N,CCCCC(C)C12CCCCCC1C2,1.32,3.68
[Li+].[N-](C#N)C#N,CCCC1CC(=O)C(C(C)C)C1(C)C,0.74,6.66
[Li+].[N-](C#N)C#N,CC(C)(CS(=O)(=O)F)C1CC1,0.7,7.69
[Li+].[N-](C#N)C#N,CCCC(C)C(C)(C)CCC(C)=O,1.01,5.14
[Li+].[N-](C#N)C#N,CCON(C)C(C)C1CCCS1,0.88,5.78
[Li+].[N-](C#N)C#N,CC1C2CC3C(C2)C3C1CC#N,1.32,4.43
[Li+].[N-](C#N)C#N,CCCC(Cl)(CC)CC,0.92,7.02
[Li+].[N-](C#N)C#N,CCCC(C)C(C)S(=O)(=O)F,0.92,5.73
[Li+].[N-](C#N)C#N,CC1(C(=O)C2CCCCC2=O)CCC1,0.39,12.98
[Li+].[N-](C#N)C#N,CC(=O)CCCCC(C)CC(C)=O,0.3,17.86
[Li+].[N-](C#N)C#N,CCC(C)OC(=O)CSC,0.79,7.54
[Li+].[N-](C#N)C#N,CCCCCOC(=O)C(C)C,1.5,3.94
[Li+].[N-](C#N)C#N,CCCC(C)C1OC(=O)C1C,1.41,4.26
[Li+].[N-](C#N)C#N,CC12CC34CC5CC3C1(CC54)C2,1.06,5.62
[Li+].[N-](C#N)C#N,CC1CN2C(C)C3OC(=O)OC3C12,1.06,4.92
[Li+].[N-](C#N)C#N,CN(C)C(=O)CC1(C)CC2CC1C2,0.74,7.22
[Li+].[N-](C#N)C#N,CCC(C#N)CC1CCCCC1,0.48,12.35
[Li+].[N-](C#N)C#N,CC1C(=O)CCC2(C#N)C(C3CC3)C12,0.3,17.39
[Li+].[N-](C#N)C#N,CC1C2CC2C1(C)CC1CCCC1,0.7,7.77
[Li+].[N-](C#N)C#N,CCCC12CC(C1CC)N(C)C2CC,0.66,7.54
[Li+].[N-](C#N)C#N,CC(C)CC(F)(F)C(C)CF,0.52,11.18
[Li+].[N-](C#N)C#N,CCCP(C)CCC(C)CC,0.61,9.16
[Li+].[N-](C#N)C#N,C1CC2CC2C(C2CC2)C1,0.3,24.15
[Li+].[N-](C#N)C#N,CCCCC(C)C(C)SOC,1.06,5.11
[Li+].[N-](C#N)C#N,CCCC(Cl)C(C#N)CC,1.41,4.17
[Li+].[N-](C#N)C#N,C1CCC23CC2C2CC2(C1)C3,1.14,5.63
[Li+].[N-](C#N)C#N,CCCC(C(=O)CC)C(CC)C(C)C,0.83,5.86
[Li+].[N-](C#N)C#N,CCCC(C)CC(C)S(C)(=O)=O,0.79,6.36
[Li+].[N-](C#N)C#N,CCCC1(CC)COC(=O)OC1,0.66,8.55
[Li+].[N-](C#N)C#N,CC(=O)CCC1CCC(C)O1,0.43,14.61
[Li+].[N-](C#N)C#N,CC(C)N(C(C)C)C(C)C1(C)CC1,1.01,5.17
[Li+].[N-](C#N)C#N,CCCC1C(CC)OCC1C1(C)CC1,0.97,5.03
[Li+].[N-](C#N)C#N,CCC(C)PCCCPC,0.3,18.47
[Li+].[N-](C#N)C#N,CCS(=O)(=O)C1CCC1,0.79,8.25
[Li+].[N-](C#N)C#N,CC1CC(C2C(C)C(C)CC2(C)C)C1,0.61,8.21
[Li+].[C-](C#N)(C#N)C#N,CCOC(=O)CC1CC1C1CCCC1,1.37,3.43
[Li+].[C-](C#N)(C#N)C#N,COC(=O)CC1CCCCCC(C)C1,0.83,5.79
[Li+].[C-](C#N)(C#N)C#N,CCC1(F)C(C)CC(C)CC1F,0.3,18.59
[Li+].[C-](C#N)(C#N)C#N,CCCCC1C(CC)C1(C)Cl,1.46,3.59
[Li+].[C-](C#N)(C#N)C#N,CCCCC(C(C)=O)C(Cl)Cl,0.92,5.23
[Li+].[C-](C#N)(C#N)C#N,CCC1(C#N)CCCCC(=O)O1,0.61,9.46
[Li+].[C-](C#N)(C#N)C#N,CCCC1(CC)OOOC1C,1.1,5.32
[Li+].[C-](C#N)(C#N)C#N,CN(C)C1=COC(C#N)=CO1,0.92,6.77
[Li+].[C-](C#N)(C#N)C#N,CC(C)CCC1(C)N(C(C)C)C1(C)C,0.3,16.6
[Li+].[C-](C#N)(C#N)C#N,CCCC(Cl)(Cl)C(F)(F)F,1.23,3.88
[Li+].[C-](C#N)(C#N)C#N,CCCCCC1(C2CC2)CC1,0.79,7.94
[Li+].[C-](C#N)(C#N)C#N,CCC12CC1OC(=O)CCCCC2C,1.14,4.18
[Li+].[C-](C#N)(C#N)C#N,CCCN(CCC(C)C)C(C)C,1.41,3.81
[Li+].[C-](C#N)(C#N)C#N,CCCC(=O)C(C)C(=O)CC(C)=O,1.06,4.81
[Li+].[C-](C#N)(C#N)C#N,CCOC(=O)C(CC(C)=O)C1CC1C,1.1,4.3
[Li+].[C-](C#N)(C#N)C#N,CCCSC(C)CC(C)CC,0.61,9.08
[Li+].[C-](C#N)(C#N)C#N,CCCOC(=O)OCCC(C)OC,0.57,8.92
[Li+].[C-](C#N)(C#N)C#N,CCC(C)CC1C(C)C(C)C1C,0.79,7.18
[Li+].[C-](C#N)(C#N)C#N,C1CC2CC1CC1CC21,1.32,5.73
[Li+].[C-](C#N)(C#N)C#N,CCCC1C(CC)OCC1C1(C)CC1,0.92,5.25
[Li+].[C-](C#N)(C#N)C#N,CC1C2CC3CC3C(C#N)C(C2)C1C,0.7,7.25
[Li+].[C-](C#N)(C#N)C#N,CS(=O)(=O)C1CCCCC1,1.23,4.66
[Li+].[C-](C#N)(C#N)C#N,CC(C)C1CCCCCCCCCC1,1.32,3.57
[Li+].[C-](C#N)(C#N)C#N,CCCCC(C)C(C)SOC,1.41,3.7
[Li+].[C-](C#N)(C#N)C#N,CC(Cl)CC1CC(C#N)C1,0.66,9.25
[Li+].[C-](C#N)(C#N)C#N,CCCC(C)(C#N)CCl,1.14,5.63
[Li+].[C-](C#N)(C#N)C#N,CC(C)C(=O)C(=O)C(C)(C)CC#N,1.01,5.15
[Li+].[C-](C#N)(C#N)C#N,CC1CCC2C(C)CC(C)C2C1,0.83,6.9
[Li+].[C-](C#N)(C#N)C#N,CCCC(C(C)C)C1(C)CCCC1,0.79,6.63
[Li+].[C-](C#N)(C#N)C#N,COC(C)CC1CCCC12CCC2,0.43,12.44
[Li+].[C-](C#N)(C#N)C#N,CCC1CC(C)C(C)(C)C1(C)C,0.61,9.4
[Li+].[C-](C#N)(C#N)C#N,CCC(CCC(C)C(C)C)OC,0.97,5.65
[Li+].[C-](C#N)(C#N)C#N,CCCC(CCC(F)F)C(=O)OC,1.37,3.46
[Li+].[C-](C#N)(C#N)C#N,CC1(C(F)F)CCCC1=O,1.37,4.54
[Li+].[C-](C#N)(C#N)C#N,CC1CC2CC(C2)C(C)C(=O)OC1C,0.52,9.51
[Li+].[C-](C#N)(C#N)C#N,CCC(C(=O)OC)S(=O)(=O)CC,1.14,4.22
[Li+].[C-](C#N)(C#N)C#N,CCC1CCC(Cl)C1C(C)=O,0.39,14.35
[Li+].[C-](C#N)(C#N)C#N,CC12CC3CC(C1)C2C3,1.1,6.97
[Li+].[C-](C#N)(C#N)C#N,CCC(C)C(=O)CCC(C)C(C)(C)C,0.7,6.91
[Li+].[C-](C#N)(C#N)C#N,CCN(C)CC1(CC(C)C)CCC1,0.83,6.26
[Li+].[C-](C#N)(C#N)C#N,CCCCOS(C)(C)C(C)(C)C,1.19,4.07
[Li+].[C-](C#N)(C#N)C#N,CC(C)N(C)C(CCF)CC(F)F,0.79,6.13
[Li+].[C-](C#N)(C#N)C#N,CCCCC(CC)C(C)CC(C)C,1.28,3.93
[Li+].[C-](C#N)(C#N)C#N,C#Cc1sccc1C(C)(C)C,0.92,6.27
[Li+].[C-](C#N)(C#N)C#N,CCC1(C)CC1CCC(C)C(C)C#N,1.5,3.15
[Li+].[C-](C#N)(C#N)C#N,CCCC1CC(=O)C(C(C)C)C1(C)C,1.06,4.51
[Li+].[C-](C#N)(C#N)C#N,CCCCC(C)(C)C(Cl)C#N,0.66,8.39
[Li+].[C-](C#N)(C#N)C#N,COC(=O)C1CC(C)(F)CC1CF,1.23,3.93
[Li+].[C-](C#N)(C#N)C#N,CCCC(Cl)C(C#N)CC,0.79,7.57
[Li+].[C-](C#N)(C#N)C#N,CCSCC(CC)SSC,0.92,5.24
[Li+].[O-][N+](=O)=O,CC(C)C1CCC(CCC#N)C1C,1.23,4.31
[Li+].[O-][N+](=O)=O,CCON(C)C(C)C1CCCS1,0.92,5.53
[Li+].[O-][N+](=O)=O,CC1CCC2C3CC4CC3CC4C12C,1.46,3.39
[Li+].[O-][N+](=O)=O,COC1=CSC=CC1,0.83,9.08
[Li+].[O-][N+](=O)=O,CC1CCC2C(C)CC(C)C2C1,0.43,13.74
[Li+].[O-][N+](=O)=O,CCCC12CC(C1CC)N(C)C2CC,0.34,14.85
[Li+].[O-][N+](=O)=O,CC1CC2CC3CCC(C1)C3C2,1.46,3.92
[Li+].[O-][N+](=O)=O,CCC(CC)CC(=O)C(C)CC,1.46,3.78
[Li+].[O-][N+](=O)=O,CCCN(CCC(C)C)C(C)C,1.19,4.67
[Li+].[O-][N+](=O)=O,CCCC1CC1CC(C)(C)CC,0.39,14.99
[Li+].[O-][N+](=O)=O,CCC1CC1C1CCC(C)C1C,0.66,8.87
[Li+].[O-][N+](=O)=O,CCC(C)CCCC1C2CCC12C,0.34,16.08
[Li+].[O-][N+](=O)=O,CCC(C#N)CS(=O)(=O)CC,0.34,16.55
[Li+].[O-][N+](=O)=O,CCC1CCC2OC(=O)OC12,0.57,10.97
[Li+].[O-][N+](=O)=O,CC1CC(C)(C#N)C(=O)C2(C)CC12,1.01,5.36
[Li+].[O-][N+](=O)=O,CC(C)CCOC(=O)C(C)(C)F,0.34,16.46
[Li+].[O-][N+](=O)=O,CC(C)N(C)C(CCF)CC(F)F,1.5,3.17
[Li+].[O-][N+](=O)=O,CCOC(=O)OCCCS(C)=O,0.83,5.99
[Li+].[O-][N+](=O)=O,CCC(C(C)C)C1CCC(C)(C)C1C,0.61,8.14
[Li+].[O-][N+](=O)=O,CCCC1(CC)C(COC)C1(C)C,0.92,5.68
[Li+].[O-][N+](=O)=O,CC1CC2CCCC3(CCCC3=O)C12,1.28,3.85
[Li+].[O-][N+](=O)=O,CCCC12CC(C)C1CC(=O)O2,0.66,8.77
[Li+].[O-][N+](=O)=O,CCC(=O)C(C)CS(=O)C(C)C,0.34,15.24
[Li+].[O-][N+](=O)=O,COC(=O)C(C)CC(C)CC(C)=O,0.34,15.57
[Li+].[O-][N+](=O)=O,CCC1CCC(C)(C)C(=O)C1,1.32,4.65
[Li+].[O-][N+](=O)=O,CCCCC(C)C(=O)C1CO1,0.43,14.63
[Li+].[O-][N+](=O)=O,CCCC(CCC)C[PH](C)=O,1.06,5.12
[Li+].[O-][N+](=O)=O,CC1CCC2CC(C)(C1)C1CC21C,0.74,7.35
[Li+].[O-][N+](=O)=O,COC(=O)OC1CCCC(C)C1,1.23,4.49
[Li+].[O-][N+](=O)=O,CCC1(OOC)CC1C,0.34,22.28
[Li+].[O-][N+](=O)=O,CSCCCC(C)SC,1.41,4.07
